member,expression,augmentation,blue_mean,blue_std,green_mean,green_std,red_mean,red_std,intensity_mean,intensity_std,intensity_median,edge_density,lbp_mean,lbp_std
Member_2,surprised,original,147.87061592576845,67.64359484768433,155.04750767012052,66.51996862461881,158.9395728681133,64.20148156397815,155.42529391193204,65.72428426430858,203.0,0.03918585180985975,4.917347480079995,2.5074366794688343
Member_2,surprised,Rotated,132.10000034446648,79.12851189046913,138.04620525872386,79.86165953103749,141.41861076992527,78.79317201044763,138.40493996113105,79.2925946717712,201.0,0.023332437720458555,5.262611328289031,2.4674621159184817
Member_2,surprised,Flipped,147.87061592576845,67.64359484768433,155.04750767012052,66.51996862461876,158.9395728681133,64.2014815639782,155.42529391193204,65.72428426430858,203.0,0.03917404153019233,4.917368312101075,2.5074205535720373
Member_2,surprised,Grayscale,155.42529391193204,65.72428426430858,155.42529391193204,65.72428426430858,155.42529391193204,65.72428426430858,155.42529391193204,65.72428426430858,203.0,0.03918585180985975,4.917347480079995,2.5074366794688343
Member_2,surprised,Brightness,202.81501075063514,63.33097078139249,207.1617868887524,60.042247748690166,211.06062807067272,58.01543145594037,207.83300313759764,59.52500275387907,255.0,0.03843598106680944,6.592957070945662,2.2495612651878276
Member_2,surprised,Blurred,147.87058910659172,67.17286552860125,155.0475361296139,66.00700455520051,158.9395879590262,63.66330921313774,155.42031120414987,65.21067964039806,204.0,0.001326934130133535,6.357865088550852,1.9022137240109191
Member_2,surprised,Noisy,147.9102778794774,71.40634067205049,154.98060653659613,70.28747310600276,158.85296070588728,68.14221658117899,155.33275594188294,67.19935231477854,189.0,0.34515771972369197,5.286100990357562,3.4995503239003254
Member_2,surprised,Zoomed,144.0515296444581,69.63029894779966,150.9411091066442,69.0473214426627,155.6354079729886,65.99750306262594,151.5886979888406,67.9767759215753,203.0,0.01033817751637692,4.894466785556816,2.058301207459984
Member_2,surprised,Contrast,148.05427332005334,55.998550750576,155.38047332648338,56.66230547672003,159.69230448738136,57.217590346250276,155.7641479768991,56.35211772558402,180.0,0.29475308641975306,4.949327995086923,2.511545923225314
Member_3,neutral,original,101.30576464021405,58.902462480612506,133.22232504004583,59.72378287628095,157.69047672980037,58.16232164096863,136.93589802746382,58.89641233588657,134.0,0.009480120271685146,5.214972633493517,2.623092518508356
Member_3,neutral,Rotated,90.66151090745166,61.4687555996684,119.1403847810232,68.28581918616646,141.1949198020976,72.33661389997795,122.51700409183245,68.40955825479116,123.0,0.008039225885258666,5.479789865723465,2.4993512643937597
Member_3,neutral,Flipped,101.30576464021405,58.9024624806125,133.22232504004583,59.72378287628098,157.69047672980037,58.162321640968635,136.93589802746382,58.89641233588657,134.0,0.009489069057782311,5.219964378238342,2.6214592880962924
Member_3,neutral,Grayscale,136.93589802746382,58.89641233588657,136.93589802746382,58.89641233588657,136.93589802746382,58.89641233588657,136.93589802746382,58.89641233588657,134.0,0.009480120271685146,5.214972633493517,2.623092518508356
Member_3,neutral,Brightness,160.06466840273117,56.418758442727146,188.38850050225062,52.62934469109659,208.00514569183065,46.53076395253729,191.0533568574548,50.78005752575366,194.0,0.008413956303077487,5.593245652008555,2.6347264042816483
Member_3,neutral,Blurred,101.30561265067519,58.599416246454204,133.22272871419366,59.39594910573044,157.690588309977,57.81270623972166,136.92214723885206,58.571953304529494,134.0,0.000567688618038963,6.283913662111734,1.8630588014494363
Member_3,neutral,Noisy,101.75922773653879,62.42294217152467,132.93391223589896,63.67506981452137,156.8091275660644,61.53196516939618,136.51963377652197,60.09054652072249,135.0,0.33366373929501464,5.300312312634791,3.519271456936325
Member_3,neutral,Zoomed,97.49436100633574,51.63317012009052,127.93969832523469,55.4288630766877,153.19771811547514,54.865647860830265,132.03788468594234,54.551767856762346,124.0,0.0036771121372385835,5.049630806643579,2.171110222909074
Member_3,neutral,Contrast,98.21273963171271,57.35171413322398,130.0826772754526,59.74400939957817,154.5965470549545,60.02572005398002,133.77788106168398,59.27417769888613,134.0,0.1403861792710319,5.227184930020493,2.639448687228458
Member_3,smile,original,90.23908248096146,58.51057369105327,119.04409192752378,61.55366304413033,140.55725587152227,61.7368191855274,122.22165919443027,61.05915220685872,117.0,0.00731717070704359,5.242843487968357,2.627943930438897
Member_3,smile,Rotated,80.8345004507951,60.01968250969915,106.5471387095403,67.42837669001442,125.89901224976957,71.5400449636503,109.426685112352,67.58862948774261,104.0,0.006767799135547263,5.534053207244937,2.5078843848216503
Member_3,smile,Flipped,90.23908248096146,58.51057369105327,119.04409192752378,61.55366304413035,140.55725587152227,61.736819185527494,122.22165919443027,61.05915220685876,117.0,0.0072885066265761045,5.246867505391644,2.6266324680150035
Member_3,smile,Grayscale,122.22165919443027,61.05915220685872,122.22165919443027,61.05915220685872,122.22165919443027,61.05915220685872,122.22165919443027,61.05915220685872,117.0,0.00731717070704359,5.242843487968357,2.627943930438897
Member_3,smile,Brightness,149.2343334720395,56.255689542683584,175.5542251693558,55.881855886105924,193.8420849664868,52.57594605981816,178.04682270553124,54.58835480113888,177.0,0.006729207495503235,5.546053809050802,2.6327508923916607
Member_3,smile,Blurred,90.23922356416728,58.220995648991,119.04460480482697,61.240462065580495,140.55773994492023,61.40975124924228,122.21119330944008,60.748266901379125,117.0,0.0011850150339606433,6.425870493167602,1.8394251215114779
Member_3,smile,Noisy,91.03159285036735,61.626449616779006,118.95301314017378,65.37329926203012,140.01386838125407,65.23731668788065,122.06806530600375,62.22837049494221,118.0,0.3326118374542493,5.30954004917358,3.520750373385049
Member_3,smile,Zoomed,85.96778968339194,51.87605713597045,113.8131216609842,57.789933905451896,135.85012349324813,58.701429825158485,117.24108672939765,57.198588607968134,106.0,0.0035367280553392933,5.125615928168094,2.1823591869884646
